sl.num,Grid Number,City name,Road_length,Network Density ,CA,population
290,G291,Armur,328.0752031,2.811446191,526.65,64023
291,G292,Jhargram,106.7928262,0.936906638,326.16,61712
292,G293,Wanparti,167.8690115,1.419829189,417.1,60949
293,G294,Chamrajnagar,194.7866955,1.616436704,495.93,60810
294,G295,Ponnuru,318.7601983,2.692136018,341.45,59913
295,G296,Chandralapadu,182.483757,1.546204469,129.48,59943
296,G297,Vinukonda,182.9747436,1.545213601,327.58,59725
297,G298,Tezpur,201.5240459,1.826620211,1152.94,58851
298,G299,Narasapur,358.3316627,3.031852284,349.47,58770
299,G300,Panskura,226.5737775,1.98733986,334.48,57932
300,G301,Rampur Hat,153.44818,1.363348779,679.34,57833
301,G302,Lonavale,307.4214777,2.633814842,663.42,57698
302,G303,Samalkot,639.8910676,5.431346667,662.27,56864
303,G304,Kalna,198.357782,1.74986766,702.03,56722
304,G305,Kothapet,155.1563423,1.333873979,434.28,57583
305,G306,Macherla,226.9180362,1.920409544,339.14,57290
306,G307,Kandukur,150.8172212,1.268598748,311.02,57246
307,G308,Sattenapalle,213.0969418,1.802682607,337.57,56721
308,G309,Bobbili,109.8892878,0.940521439,293.64,56819
309,G310,Vrindavan,524.1359462,4.789947544,858.95,56618
310,G311,Gangarampur,205.1745735,1.840682268,341.07,56217
311,G312,Kandi,129.1650874,1.145677728,432.61,55632
312,G313,Belampalli,134.2215723,1.152000923,364.19,55841
313,G314,Pithoragarh,289.1268469,2.692104755,336.83,56044
314,G315,Puttur,155.0746809,1.294430295,375.74,54092
315,G316,Islampur,131.8755938,1.191635183,373.85,54340
316,G317,Punganuru,227.1204746,1.895166436,296.92,54746
317,G318,Nandod,179.8726901,1.571705862,289.22,54923
318,G319,Palmaner,341.967067,2.851573794,365.51,54035
319,G320,Jalor,165.7011834,1.485953014,160.01,54081
320,G321,Kaliyaganj,106.4422377,0.956716407,431.22,53530
321,G322,Vikarabad,254.6549035,2.16464663,292.29,53143
322,G323,Baduria,144.9350782,1.27415314,74.86,52493
323,G324,Dholka,125.4370388,1.102584424,583.86,53792
324,G325,Tuni,364.1293965,3.095543317,492.42,53425
325,G326,Jaggayyapeta,179.5698583,1.522899894,438.01,53530
326,G327,Venkatagiri,173.511329,1.451432391,261.84,52688
327,G328,Sihor,133.7616466,1.167436746,469.97,52603
328,G329,Jangaon,340.5044982,2.900471275,422.86,52394
329,G330,Mandamari,87.26824392,0.748684855,398.15,52352
330,G331,Diu,154.3953767,1.338771262,222.06,52074
331,G332,Metpalli,124.3544434,1.065903078,412.96,50902
332,G333,Repalle,172.9245985,1.460126264,264,50866
333,G334,Peddapuram,436.5163242,3.705638324,768.44,49477
334,G335,Bhadrachalam,285.6666808,2.43269313,550.49,50087
335,G336,Ajodhya,351.9748606,3.19497175,959.69,49650
336,G337,Bhainsa,226.2275006,1.942177861,339.79,49764
337,G338,Prattipadu,358.4666099,3.029287373,240.91,49390
338,G339,Jasdan,179.2966994,1.568392091,352.73,48483
339,G340,Vuyyuru,488.1378729,4.128767665,362.61,46490
340,G341,Nandikotkur,156.2362883,1.318233818,362.61,46953
341,G342,Dhupgari,160.4694169,1.454079063,282.31,44719
342,G343,Jammalamadugu,307.4747982,2.581995089,420.04,46069
343,G344,Rameswaram,131.6262297,1.083147248,444.61,44856
344,G345,Murshidabad,83.75214653,0.744173918,340.49,44019
345,G346,Sainthia,101.0569281,0.896361967,485.16,44601
346,G347,Charkhi Dadri,216.4092996,1.996138503,645.78,44892
347,G348,Nandigama,305.3653389,2.588298892,305.96,44359
348,G349,Nidadavole,451.0853557,3.826128655,490.57,43809
349,G350,Addanki,182.023671,1.535397981,278.29,43850
350,G351,Nilothi,208.8063796,1.930100872,358.89,43371
351,G352,Mahbubabad,175.1327349,1.490972734,376.12,42851
352,G353,Berubari,446.7611917,4.040038882,220.91,41593
353,G354,Akbarpur,118.1186635,1.069590769,593.86,42248
354,G355,Karsiyang,492.8082876,4.476310252,192.05,42446
355,G356,Rajgir,166.4696026,1.489013337,345.23,41587
356,G357,Nalhati,99.48425673,0.884775884,601.01,41534
357,G358,Memari,97.07883518,0.856282334,467.88,41451
358,G359,Rajaori,102.1777012,0.990060362,204.59,41552
359,G360,Pileru,398.7555707,3.331199474,286.2,41489
360,G361,Peddapalli,195.3767512,1.672607294,527.21,41171
361,G362,Naini Tal,274.5534237,2.551764433,105.8,41377
362,G363,Kovvur,594.5556887,5.045585242,846.96,39667
363,G364,Channarayapatna,321.1833311,2.675097719,339.59,40400
364,G365,Maihar,108.527925,0.964983973,438.7,40192
365,G366,Junnar,454.8959358,3.907622322,379.54,40000
366,G367,Kalimpong,301.7173806,2.74487141,130.7,40143
367,G368,Atmakur,258.2513456,2.179094372,167.13,39794
368,G369,Solan,189.1741438,1.78513278,177.9096,39256
369,G370,Vetapalem,256.6188545,2.164296892,662.11,38671
370,G371,Taki,146.2285527,1.28415174,74.13,38263
371,G372,Betamcherla,92.16263576,0.77613196,416.36,38994
372,G373,Penumur,190.141942,1.586605642,135.52,38912
373,G374,Dwarka,222.5453578,1.94955006,252.08,38873
374,G375,Kadiyam,424.2062674,3.598077387,589.59,37149
375,G376,Dubrajpur,108.9632381,0.965395706,402.75,38041
376,G377,Pathanamthitta,677.9193279,5.578335561,316.92,37802
377,G378,Sitalkuchi,57.63364168,0.520341673,187.73,37052
378,G379,Dalkola,104.1471842,0.937985222,515.09,36930
379,G380,Ichchapuram,197.9593468,1.699694551,218.98,36493
380,G381,Mahe,454.8449912,3.771543916,434.08,36828
381,G382,Kanigiri,190.8331361,1.606565242,240.68,37420
382,G383,Dinhata,133.1248326,1.201509113,419.3,36124
383,G384,Huzurnagar,130.0927212,1.103338777,302.53,35850
384,G385,Kodaikanal,223.1156258,1.841114743,184.1,36501
385,G386,Udhampur,164.8404128,1.589215871,674.25,35507
386,G387,Vempalle,264.878376,2.219532636,156.33,36031
387,G388,Medchal,877.7942861,7.473527923,727.54,35611
388,G389,Uravakonda,252.1769987,2.118595266,179.21,35565
389,G390,Guskhara,101.0104184,0.892883719,265.72,35388
