Pixel 0,Pixel 10 (Tree Cover),Pixel 20 (Shrubland),Pixel 30 (Grassland),Pixel 40 (Cropland),Pixel 50 (Built-up),Pixel 60 (Bare / sparse vegetation),Pixel 70 (Snow and ice),Pixel 80 (Permanent water bodies),Pixel 90 (Herbaceous wetland),Pixel 95 (Mangroves),Pixel 100 (Moss and lichen),Road_length,Network Density ,CA,population
0,1873.78,18.21,153.13,7083.62,2434.66,828.49,0,17.89,0.18,0,0,483.4974673,4.386826283,1669.21,153047
0,3561.32,27.93,347.13,5624.64,1450.28,850.1700000000001,0,422.14,126.35000000000001,0,0,400.7090681,3.577404086,1363.01,152393
0,5678.25,3.42,29.36,4959.76,431.91,607.89,0,682.3000000000001,17.07,0,0,205.7527086,1.815502869,700.69,151777
0,270.83,935.89,63.93,9614.01,1082.06,434.58,0,19.76,0.04,0,0,262.8876668,2.197805542,714.47,151677
0,2197.39,16.64,1727.23,2715.23,4672.04,626.54,0,453.86,1.03,0,0,1227.188183,10.1631309,3318.04,151184
0,238.43,1391.5,1187.4,5298.34,2309.7000000000003,1906.58,0,78.01,0,0,0,315.9401845,2.85080685,1490.76,151472
0,2899.19,201.01,66.4,2975.58,5450.16,806.96,0.07,9.27,1.32,0,0,1668.40986,15.71166892,2951.7,146213
0,6916.5,8.85,91.4,4311.2,329.49,736.95,0,10.72,15.99,0,0,242.3620162,2.132027015,366.7,147221
0,1288.08,538.73,123.38000000000001,6481.860000000001,3299.36,668.4,0,6.63,3.52,0,0,943.8396525,8.857751756,1688.96,146787
0,175.15,6.34,33.85,10636.59,553.13,871.24,0,2.52,131.14000000000001,0,0,126.3509773,1.155280177,240.89,145601
0,6754.06,0.22,2225.69,961.99,1163.2,1269.44,0,35.36,0,0,0,408.1377429,3.666725906,1468.66,143229
0,329.8,1596.39,282.96,7593.96,1270.57,1287.3,0,58.32,1.8,0,0,839.6136384,6.999460192,683.18,144625
0,1551.8400000000001,95.9,162.95000000000002,8434.04,1157.63,494.81,0,249.75,263.04,0,0,746.2860531,6.317524567,754.11,142184
0,528.26,43.79,239.65,9936.130000000001,835.73,646.96,0,190.58,0,0,0,468.2249543,4.155618791,537.27,141667
0,4707.2,407.37,138.86,5617.89,1367.72,162.72,0,5.88,2.32,0,0,986.9649359,8.163759383,1179.45,139264
0,2238.27,10.39,951.96,6850.7300000000005,1344.56,640.78,0,350.19,23.080000000000002,0,0,693.416561,5.925630995,947.96,137944
11.14,1853.4,877.33,314.89,7248.04,1380.47,711.13,0,21.53,3.17,0,0,918.0687254,7.627944478,844.19,138243
0,5798.9800000000005,36.11,1081.65,3529.2200000000003,1487.65,388.87,0,87.45,0.03,0,0,898.1224238,7.469576792,903.68,137358
0,2110.45,18.13,849.48,7010.28,1290.18,726.44,0,404.97,0.03,0,0,280.4538193,2.474644037,1064.27,137386
0,873.3100000000001,76,357.7,9284.82,1394.09,355.39,0,68.65,0,0,0,358.6793127,3.125187893,1094.13,132821
0,1751.18,170.59,1187.49,6517.29,2085.9700000000003,463.13,0,226.37,7.94,0,0,1163.757566,9.696780475,1274.53,133436
0,1552.81,13.200000000000001,13.1,9323.27,947.19,477.76,0,82.24,0.39,0,0,189.5753712,1.749331025,623.59,131008
0,6246.56,7.37,766.12,3075.48,1818.05,294.28000000000003,0,201.73000000000002,0.37,0,0,772.8414798,6.388416152,1858.6,130955
0,4053.48,139.03,60.410000000000004,6982.12,584.75,453.03000000000003,0,36.72,100.42,0,0,335.3586306,2.838906581,441.19,129717
0,171.38,74.06,7.78,11348.92,390.76,411.96000000000004,0,5.07,0.03,0,0,161.6152111,1.512826157,192.2,130603
0,4792.77,26.71,184.65,3254.78,1776.42,1457.43,0,890.94,26.26,0,0,486.7887805,4.286538918,1693.04,129576
0,54.38,86.37,9.59,8965.29,2310.66,971.3000000000001,0,19.81,3.7,0,0,484.404231,4.510507132,1170.36,129654
0,155.97,5.0600000000000005,30.55,9487.27,1772.98,963.8000000000001,0,5.47,0,0,0,169.5964247,1.550275763,967.98,126882
0,5006.16,10.18,21.68,4730.07,291.56,1416.78,0,930.83,13.84,0,0,133.072353,1.169174748,225.87,125254
0,4800.14,3.36,39.46,5573.57,763.44,485.82,0,622.04,122.13,0,0,325.5806537,2.876188574,793.99,125543
0,334.11,681.96,62.24,9468.08,972.41,767.69,0,123.44,0.03,0,0,486.9019122,4.094694399,478.08,126270
0,5019.03,13.790000000000001,219.33,2414.43,2443.2000000000003,1580.8700000000001,0,718.59,11.86,0,0,547.1172873,4.817080276,2099.83,124939
0,3672.94,26.560000000000002,300.02,1233.92,4774.85,1254.57,0,1076.6200000000001,81.62,0,0,1322.757613,11.62613397,4062.71,124577
11.16,5299.2,10.290000000000001,598.89,2289.16,2170.27,919.4200000000001,0,896.2,237.66,0,0,597.5284716,5.254871987,1632.15,121110
11.14,486.46000000000004,825.39,141.37,8823.65,894.99,507.91,0,726.98,3.21,0,0,554.8096333,4.649958546,465.68,121874
0,547.07,2.96,38.1,8390.77,1585.0900000000001,660.42,0,1185.53,0.02,0,0,162.57098,1.460650457,1189.34,121020
0,1091.8700000000001,8.58,809.3100000000001,8421.84,1125.8600000000001,809.09,0,154.36,0.19,0,0,230.8424288,2.038133759,723.72,121067
0,11853.89,1.62,128.87,12.35,315.83,96.2,0,1.2,0,0,0,786.2095622,7.151131553,246.77,118805
11.14,617.69,94.52,110.86,10198.380000000001,918.73,164.55,0,279.31,25.92,0,0,577.7759037,4.888493973,545.54,118167
0,3243.44,23.42,1904.49,4586.54,1588.71,343.29,0,267.82,452.25,0,0,439.4539187,4.303361968,902.22,118608
0,609.07,461.33,1383.01,8150.97,1328.14,436.09000000000003,0,52.49,0,0,0,762.8663593,6.57154261,806.13,117167
0,1828.64,203.13,8.93,9035.300000000001,1001.7900000000001,317.66,0,12.370000000000001,2.14,0,0,254.0003026,2.146987925,700.14,116250
0,2408.69,668.46,2345.41,4104.7,2151.3,706.21,0,25.19,0,0,0,953.0077344,8.246964206,1260.05,116551
0,1057.76,907.6,1459.82,6160.400000000001,1894.5,766.24,0,163.64000000000001,0,0,0,611.8528678,5.46670363,1063.62,116406
0,4717.2300000000005,7.88,119.84,3607.88,1633.76,1442.72,0,873.62,7.03,0,0,409.3990836,3.605064815,1535.15,103920
11.14,517.07,166.8,1932.46,7933.71,1200.55,541.26,0,118.10000000000001,0.01,0,0,508.9307625,4.344229108,775.99,114091
0,8667.710000000001,0.1,3597.08,5.18,88.24,48.620000000000005,0,14.17,0,0,0,318.0637916,2.625343283,88.54,114308
